iter	Passed	Remaining
0	0	473
1	0	452
2	1	432
3	1	440
4	2	439
5	2	440
6	3	437
7	3	436
8	3	432
9	4	425
10	4	420
11	5	414
12	5	410
13	5	407
14	6	404
15	6	400
16	6	399
17	7	396
18	7	394
19	8	393
20	8	394
21	8	393
22	9	391
23	9	389
24	9	388
25	10	387
26	10	387
27	11	385
28	11	384
29	11	383
30	12	381
31	12	381
32	12	380
33	13	379
34	13	379
35	14	379
36	14	378
37	15	385
38	15	384
39	15	383
40	16	382
41	16	382
42	17	381
43	17	380
44	17	379
45	18	378
46	18	378
47	19	377
48	19	376
49	19	375
50	20	375
51	20	374
52	20	373
53	21	374
54	21	374
55	22	373
56	22	372
57	22	372
58	23	371
59	23	371
60	24	370
61	24	369
62	24	369
63	25	368
64	25	367
65	25	367
66	26	366
67	26	363
68	26	362
69	27	362
70	27	361
71	28	361
72	28	360
73	28	360
74	29	359
75	29	359
76	29	358
77	30	357
78	30	357
79	31	356
80	31	356
81	31	355
82	32	355
83	32	354
84	32	352
85	33	351
86	33	349
87	33	349
88	34	348
89	34	348
90	34	347
91	35	347
92	35	346
93	35	346
94	36	345
95	36	345
96	37	344
97	37	344
98	37	343
99	38	343
100	38	342
101	38	340
102	39	340
103	39	339
104	39	339
105	40	338
106	40	338
107	40	337
108	41	337
109	41	337
110	42	336
111	42	336
112	42	335
113	43	335
114	43	334
115	43	333
116	44	333
117	44	333
118	44	332
119	45	331
120	45	331
121	45	330
122	46	329
123	46	328
124	46	328
125	47	327
126	47	327
127	47	325
128	48	325
129	48	325
130	48	324
131	49	324
132	49	324
133	50	323
134	50	323
135	50	322
136	51	322
137	51	321
138	51	320
139	52	320
140	52	320
141	52	319
142	53	319
143	53	318
144	53	318
145	54	318
146	54	317
147	55	317
148	55	316
149	55	316
150	56	315
151	56	315
152	56	315
153	57	314
154	57	314
155	58	314
156	58	313
157	58	313
158	59	312
159	59	312
160	59	311
161	60	311
162	60	311
163	60	310
164	61	310
165	61	310
166	62	309
167	62	309
168	62	308
169	63	308
170	63	308
171	64	308
172	64	307
173	64	307
174	65	306
175	65	306
176	65	306
177	66	305
178	66	305
179	66	305
180	67	303
181	67	303
182	67	303
183	68	302
184	68	302
185	69	302
186	69	302
187	69	302
188	70	302
189	70	301
190	71	301
191	71	301
192	71	300
193	72	300
194	72	300
195	73	300
196	73	299
197	73	299
198	74	299
199	74	298
200	75	298
201	75	298
202	75	298
203	76	297
204	76	297
205	77	297
206	77	296
207	77	296
208	78	296
209	78	295
210	79	295
211	79	295
212	79	294
213	80	294
214	80	294
215	81	294
216	81	293
217	81	293
218	82	293
219	82	292
220	82	292
221	83	292
222	83	291
223	84	291
224	84	291
225	84	290
226	85	290
227	85	290
228	86	289
229	86	289
230	86	289
231	87	288
232	87	288
233	87	287
234	88	287
235	88	287
236	89	286
237	89	286
238	89	286
239	90	285
240	90	285
241	90	284
242	91	284
243	91	284
244	92	283
245	92	283
246	92	282
247	93	282
248	93	282
249	93	281
250	94	281
251	94	281
252	95	280
253	95	280
254	95	280
255	96	279
256	96	279
257	96	278
258	97	278
259	97	277
260	97	277
261	98	276
262	98	276
263	99	276
264	99	275
265	99	275
266	100	274
267	100	274
268	100	274
269	101	273
270	101	273
271	101	272
272	102	272
273	102	272
274	103	271
275	103	271
276	103	270
277	103	270
278	104	269
279	104	269
280	105	268
281	105	268
282	105	267
283	106	267
284	106	266
285	106	266
286	107	265
287	107	265
288	107	265
289	108	264
290	108	264
291	108	263
292	109	263
293	109	262
294	109	262
295	110	262
296	110	261
297	111	261
298	111	261
299	111	260
300	112	260
301	112	259
302	112	259
303	113	259
304	113	258
305	113	258
306	114	258
307	114	257
308	115	257
309	115	256
310	115	256
311	116	256
312	116	256
313	117	255
314	117	255
315	117	255
316	118	254
317	118	254
318	118	254
319	119	253
320	119	253
321	120	252
322	120	252
323	120	251
324	121	251
325	121	250
326	121	250
327	122	250
328	122	249
329	122	249
330	123	248
331	123	248
332	123	248
333	124	247
334	124	247
335	124	246
336	125	246
337	125	245
338	125	245
339	126	244
340	126	244
341	126	243
342	127	243
343	127	243
344	127	242
345	128	242
346	128	242
347	129	241
348	129	241
349	129	241
350	130	240
351	130	240
352	130	239
353	131	239
354	131	239
355	131	238
356	132	238
357	132	237
358	133	237
359	133	237
360	133	236
361	134	236
362	134	236
363	134	235
364	135	235
365	135	234
366	135	234
367	136	233
368	136	233
369	136	233
370	137	232
371	137	232
372	137	231
373	138	231
374	138	230
375	138	230
376	139	229
377	139	229
378	139	229
379	140	228
380	140	228
381	141	228
382	141	227
383	141	227
384	142	227
385	142	226
386	142	226
387	143	225
388	143	225
389	143	225
390	144	224
391	144	224
392	145	223
393	145	223
394	145	223
395	146	222
396	146	222
397	146	222
398	147	221
399	147	221
400	148	221
401	148	220
402	148	220
403	149	220
404	149	219
405	149	219
406	150	219
407	150	218
408	151	218
409	151	218
410	151	217
411	152	217
412	152	217
413	153	216
414	153	216
415	153	216
416	154	215
417	154	215
418	155	215
419	155	214
420	155	214
421	156	213
422	156	213
423	157	213
424	157	212
425	157	212
426	158	212
427	158	211
428	158	211
429	159	211
430	159	210
431	160	210
432	160	210
433	160	209
434	161	209
435	161	209
436	161	208
437	162	208
438	162	207
439	163	207
440	163	207
441	163	206
442	164	206
443	164	206
444	165	205
445	165	205
446	165	205
447	166	204
448	166	204
449	166	204
450	167	203
451	167	203
452	168	202
453	168	202
454	168	202
455	169	201
456	169	201
457	170	201
458	170	200
459	170	200
460	171	200
461	171	199
462	171	199
463	172	199
464	172	198
465	173	198
466	173	198
467	173	197
468	174	197
469	174	196
470	175	196
471	175	196
472	175	195
473	176	195
474	176	195
475	176	194
476	177	194
477	177	194
478	178	193
479	178	193
480	178	192
481	179	192
482	179	192
483	179	191
484	180	191
485	180	191
486	181	190
487	181	190
488	181	190
489	182	189
490	182	189
491	182	188
492	183	188
493	183	188
494	184	187
495	184	187
496	184	187
497	185	186
498	185	186
499	186	186
500	186	185
501	186	185
502	187	184
503	187	184
504	187	184
505	188	183
506	188	183
507	189	183
508	189	182
509	189	182
510	190	182
511	190	181
512	191	181
513	191	181
514	191	180
515	192	180
516	192	179
517	193	179
518	193	179
519	193	178
520	194	178
521	194	178
522	195	177
523	195	177
524	195	177
525	196	176
526	196	176
527	196	176
528	197	175
529	197	175
530	198	174
531	198	174
532	199	174
533	199	174
534	199	173
535	200	173
536	200	173
537	201	172
538	201	172
539	201	171
540	202	171
541	202	171
542	203	170
543	203	170
544	203	170
545	204	169
546	204	169
547	205	169
548	205	168
549	205	168
550	206	168
551	206	167
552	207	167
553	207	166
554	207	166
555	208	166
556	208	165
557	208	165
558	209	165
559	209	164
560	209	164
561	210	163
562	210	163
563	211	163
564	211	162
565	211	162
566	212	162
567	212	161
568	212	161
569	213	160
570	213	160
